icd9_code,cipi_code
11.39,11.33.00
11.39,11.3Z.00
11.41,11.41.00
11.41,11.41.10
11.42,11.42.00
11.43,11.43.00
11.49,11.44.00
11.49,11.45.00
11.49,11.4Z.00
11.51,11.51.00
11.52,11.52.00
11.53,11.53.00
11.59,11.54.00
11.59,11.55.00
11.59,11.5Z.00
11.60,11.60.00
11.61,11.61.00
11.61,11.61.10
11.62,11.62.00
11.63,11.63.00
11.64,11.64.00
11.64,11.65.00
11.64,11.66.00
11.64,11.67.00
11.69,11.6Z.00
11.71,11.71.00
11.72,11.72.00
11.73,11.73.00
11.74,11.7Z.00
11.75,11.75.00
11.75,11.75.10
11.75,11.75.20
11.76,11.76.00
11.79,11.77.00
11.79,11.77.10
11.79,11.77.Z0
11.79,11.79.00
11.79,11.79.10
11.79,11.79.20
11.79,11.79.Z0
11.79,11.7Z.00
11.91,11.91.00
11.92,11.92.00
11.99,11.9Z.00
12.00,12.02.00
12.01,12.01.00
12.02,12.02.00
12.11,12.11.00
12.12,12.12.10
12.12,12.12.20
12.12,12.12.30
12.12,12.12.Z0
12.13,12.13.00
12.14,12.14.00
12.21,12.21.0P
12.22,12.22.0C
12.22,12.22.0P
12.29,12.29.00
12.29,12.29.Z0
12.31,12.31.00
12.31,12.31.Z0
12.32,12.32.00
12.32,12.32.10
12.33,12.33.00
12.33,12.33.10
12.34,12.34.00
12.35,12.35.00
12.35,12.35.10
12.39,12.39.00
12.39,12.39.Z0
12.40,12.40.00
12.41,12.41.00
12.41,12.41.10
12.41,12.41.20
12.41,12.41.30
12.41,12.41.Z0
12.42,12.42.00
12.43,12.43.00
12.44,12.44.00
12.51,12.51.00
12.52,12.52.00
12.53,12.53.00
12.54,12.54.00
12.55,12.55.00
12.59,12.56.00
12.59,12.56.10
12.59,12.56.20
12.59,12.59.10
12.59,12.59.Z0
12.61,12.61.00
12.62,12.62.00
12.63,12.63.00
12.64,12.64.00
12.65,12.65.00
12.66,12.66.00
12.69,12.67.10
12.69,12.67.Z0
12.69,12.6Z.00
12.71,12.71.00
12.72,12.72.00
12.73,12.73.00
12.74,12.74.00
12.79,12.79.00
12.81,12.81.00
12.82,12.82.00
12.83,12.83.00
12.84,12.84.00
12.85,12.85.00
12.86,12.86.00
12.87,12.87.00
12.87,12.87.10
12.88,12.88.00
12.89,12.8Z.00
12.91,12.91.0P
12.92,12.92.0P
12.92,12.92.1P
12.93,12.93.00
12.97,12.94.00
12.97,12.9Z.00
12.98,12.9Z.10
12.99,12.9Z.20
13.00,13.02.00
13.01,13.01.00
13.02,13.02.00
13.11,13.11.0C
13.19,13.12.00
13.19,13.13.00
13.19,13.1Z.00
13.2,13.20.00
13.3,13.30.00
13.41,13.41.00
13.42,13.42.00
13.43,13.43.00
13.51,13.51.0C
13.59,13.52.00
13.59,13.53.00
13.59,13.5Z.00
13.64,13.64.00
13.65,13.65.00
13.66,13.66.00
13.69,13.44.00
13.69,13.45.00
13.69,13.4Z.00
13.69,13.6Z.00
13.70,13.70.00
13.71,13.70.00
13.71,13.70.10
13.71,13.71.10
13.71,13.71.20
13.71,13.71.30
13.71,13.71.40
13.71,13.71.Z0
13.72,13.72.00
13.72,13.72.10
13.8,13.80.00
13.90,13.92.00
13.90,13.93.00
13.90,13.9Z.00
13.91,13.91.00
14.00,14.0Z.00
14.01,14.01.00
14.02,14.02.00
14.11,14.11.00
14.19,14.19.1Z
14.19,14.19.2Z
14.19,14.19.3Z
14.19,14.19.4Z
14.21,14.21.00
14.22,14.22.00
14.23,14.23.00
14.24,14.24.00
14.24,14.24.10
14.24,14.24.20
14.24,14.24.30
14.25,14.25.00
14.26,14.26.10
14.26,14.26.20
14.27,14.27.00
14.29,14.29.00
14.29,14.29.Z0
14.31,14.31.00
14.32,14.32.00
14.33,14.33.00
14.34,14.34.00
14.35,14.3Z.00
14.39,14.3Z.00
14.41,14.41.00
14.49,14.42.10
14.49,14.42.20
14.49,14.4Z.00
14.51,14.51.00
14.52,14.52.00
14.53,14.53.00
14.54,14.54.00
14.55,14.59.Z0
14.59,14.59.00
14.59,14.59.Z0
14.6,14.60.00
14.71,14.71.10
14.71,14.71.20
14.72,14.72.10
14.72,14.72.20
