code,description,type,parent,is_billable
01.09.Z0,Altra puntura del cranio,procedura,01.09,1
01.1,"Procedure diagnostiche sul cranio, sul cervello e sulle meningi cerebrali",block,01,0
01.10,Monitoraggio della pressione intracranica,category,01.1,0
01.10.10,"Pic intraparenchiale: monitoraggio della pressione intracranica intraparenchimale, delle temperatura o dell'ossigenazione mediante sonda",procedura,01.10,1
01.10.20,"Pic intraventricolare: monitoraggio della pressione intracranica intraventricolare, delle temperatura o dell'ossigenazione mediante sonda",procedura,01.10,1
01.11,Biopsia [percutanea] [agobiopsia] delle meningi cerebrali,category,01.1,0
01.11.0T,Biopsia delle meningi cerebrali mediante foro di trapano,procedura,01.11,1
01.11.1T,Biopsia stereotassica delle meningi cerebrali mediante foro di trapano,procedura,01.11,1
01.11.2T,"Biopsia neuronavigata delle meningi cerebrali, mediante foro di trapano",procedura,01.11,1
01.11.Z0,Altra biopsia percutanea delle meningi cerebrali,procedura,01.11,1
01.12,Biopsia delle meningi cerebrali a cielo aperto,category,01.1,0
01.12.0C,Biopsia a cielo aperto delle meningi cerebrali [mediante craniotomia],procedura,01.12,1
01.13,Biopsia [percutanea] [agobiopsia] di lesione cerebrale,category,01.1,0
01.13.1T,Biopsia di lesione cerebrale mediante foro di trapano,procedura,01.13,1
01.13.2T,"Biopsia stereotassica di lesione cerebrale, mediante foro di trapano",procedura,01.13,1
01.13.3T,"Biopsia neuronavigata di lesione cerebrale, mediante foro di trapano",procedura,01.13,1
01.13.3Y,Biopsia neuroendoscopica di lesione cerebrale,procedura,01.13,1
01.13.Z0,Altra biopsia percutanea di lesione cerebrale,procedura,01.13,1
01.14,"Biopsia a cielo aperto di lesione cerebrale, mediante craniotomia",category,01.1,0
01.14.0C,"Biopsia a cielo aperto di lesione cerebrale, mediante craniotomia",procedura,01.14,1
01.15,Biopsia delle ossa craniche,category,01.1,0
01.15.0C,Biopsia a cielo aperto di lesione delle ossa craniche,procedura,01.15,1
01.15.Z0,Altra biopsia delle ossa craniche,procedura,01.15,1
01.1Z.00,Altre procedure diagnostiche chirurgiche sul cervello e sulle meningi cerebrali,procedura,01.1Z,1
01.1Z.10,Altre procedure diagnostiche chirurgiche sulla ossa craniche,procedura,01.1Z,1
01.1Z.20,Altre procedure diagnostiche mediche sulla ossa craniche,procedura,01.1Z,1
01.2,Craniotomia e craniectomia,block,01,0
01.21,Incisione e drenaggio dei seni cranici,category,01.2,0
01.21.0Y,Impianto iniziale di sistema di drenaggio dei seni cranici (neuro-endoscopia),procedura,01.21,1
01.21.1Y,Sostituzione di sistema di drenaggio dei seni cranici (neuro-endoscopica),procedura,01.21,1
01.23,Riapertura di pregressa craniotomia,category,01.2,0
01.23.0C,Riapertura di pregressa craniotomia,procedura,01.23,1
01.24,Craniotomia,category,01.2,0
01.24.1T,Drenaggio epidurale mediante trapanazione cranica [foro di trapanazione],procedura,01.24,1
01.24.2C,Craniotomia con rimozione di ascesso epidurale,procedura,01.24,1
01.24.3C,Craniotomia con rimozione di ematoma epidurale,procedura,01.24,1
01.24.4C,Craniotomia con rimozione di corpo estraneo,procedura,01.24,1
01.24.5C,Craniotomia per impianto di impianto epidurale,procedura,01.24,1
01.24.Z0,Altra craniotomia,procedura,01.24,1
01.25,Altra craniectomia,category,01.2,0
01.25.0C,Craniectomia decompressiva,procedura,01.25,1
01.25.1C,Craniectomia decompressiva con rimozione di ascesso epidurale,procedura,01.25,1
01.25.2C,Craniectomia decompressiva con rimozione di ematoma epidurale,procedura,01.25,1
01.25.3C,Craniectomia sub-occipitale in malformazione di Chiari,procedura,01.25,1
01.25.4C,Asportazione dell'opercolo osseo (infetto),procedura,01.25,1
01.25.Z0,Altra craniectomia,procedura,01.25,1
01.26,Inserzione di catetere/i nella cavità o tessuto del cranio,category,01.2,0
01.26.10,Impianto di sistema di accesso al sistema liquorale [ventricolare] [catetere e serbatoio],procedura,01.26,1
01.26.Z0,Altra inserzione di catetere nella cavità o nel tessuto cranico,procedura,01.26,1
01.26.Z1,Altra sostituzione di catetere nella cavità o nel tessuto cranico,procedura,01.26,1
01.27,Rimozione di catetere/i dalla cavità o tessuto del cranio,category,01.2,0
01.27.00,Rimozione di catetere(i) dalla cavità o dal tessuto cranico,procedura,01.27,1
01.28,Posizionamento di catetere/i intracerebrale attraverso foro di trapano,category,01.2,0
01.28.0T,Posizionamento di catetere/i intracerebrale attraverso foro di trapano,procedura,01.28,1
01.28.10,Revisione/rimozione di catetere intracerebrale,procedura,01.28,1
01.3,Incisione cerebrale e delle meningi,block,01,0
01.31,Incisione delle meningi cerebrali,category,01.3,0
01.31.1C,"Drenaggio di igroma intracranico, a cielo aperto [craniotomia]",procedura,01.31,1
